2026-07-22 02:47:25 - __main__ - INFO - 🚀 Запуск Telegram Aggregator
2026-07-22 02:47:25 - __main__ - INFO - ✅ Боты запущены успешно
2026-07-22 02:47:25 - __main__ - INFO - 📊 Бот для сбора сообщений активен
2026-07-22 02:47:25 - __main__ - INFO - 👔 Административный бот активен
2026-07-22 02:47:26 - __main__ - INFO - 👋 Программа завершена
2026-07-22 02:51:15 - __main__ - INFO - 🚀 Запуск Telegram Aggregator
2026-07-22 02:51:15 - __main__ - INFO - ✅ Запуск ботов...
2026-07-22 02:51:15 - __main__ - INFO - ✅ Боты запущены успешно
2026-07-22 02:51:15 - __main__ - INFO - 📊 Бот для сбора сообщений активен
2026-07-22 02:51:15 - __main__ - INFO - 👔 Административный бот активен
2026-07-22 02:51:21 - __main__ - WARNING - ⚠️ Поток Collector завершился
2026-07-22 02:51:21 - __main__ - INFO - ⏹️ Остановка приложения...
2026-07-22 02:51:21 - __main__ - INFO - 👋 Программа завершена
2026-07-22 02:53:08 - __main__ - INFO - 🚀 Запуск Telegram Aggregator
2026-07-22 02:53:08 - __main__ - INFO - ✅ Проверка окружения пройдена
2026-07-22 02:53:08 - __main__ - INFO - ✅ Боты запущены успешно
2026-07-22 02:53:08 - __main__ - INFO - 📊 Бот для сбора сообщений активен
2026-07-22 02:53:08 - __main__ - INFO - 👔 Административный бот активен
2026-07-22 02:53:10 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:10 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:11 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:11 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:12 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:12 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:13 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:13 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:14 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:14 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:15 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:15 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:16 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:16 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:17 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:17 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:18 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:18 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:19 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:19 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:20 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:20 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:21 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:21 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:22 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:22 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:23 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:23 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:24 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:24 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:25 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:25 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:26 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:26 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:27 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:27 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:28 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:28 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:29 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:29 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:30 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:30 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:31 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:31 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:32 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:32 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:33 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:33 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:34 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:34 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:35 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:35 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:36 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:36 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:37 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:37 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:38 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:38 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:39 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:39 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:40 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:40 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:41 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:41 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:42 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:42 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:43 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:43 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:44 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:44 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:45 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:45 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:46 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:46 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:47 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:47 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:48 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:48 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:49 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:49 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:50 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:50 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:51 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:51 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:52 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:52 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:53 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:53 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:54 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:54 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:55 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:55 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:56 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:56 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:57 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:57 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:58 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:58 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:53:59 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:53:59 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:00 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:00 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:01 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:01 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:02 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:02 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:03 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:03 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:04 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:04 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:05 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:05 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:06 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:06 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:07 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:07 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:08 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:08 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:09 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:09 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:10 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:10 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:11 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:11 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:12 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:12 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:13 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:13 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:14 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:14 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:15 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:15 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
2026-07-22 02:54:16 - __main__ - WARNING - ⚠️ Поток Collector завершился, перезапуск...
2026-07-22 02:54:16 - __main__ - WARNING - ⚠️ Поток AdminBot завершился, перезапуск...
